---,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
22,,,,,,,,,,,,,o-13;o-12;o-11;o-10;o-9;o-8,f-12,f-12,o-13;o-12;o-11;o-10;o-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f-6,f-6,f-6,,,,,,,f-3,,,f-4;o-5;o-6;o-7,o-7;o-8;o-9,,,,,,o-7;o-8;o-9,f-4;o-5;o-6;o-7,f-4,f-4,f-4,f-5,f-5,f-5,f-5,f-6,f-6,f-6,f-6,f-6,f-6,f-6,,
23,,,,,,,,,,,,,o-13;o-12;o-11;o-10;o-9;o-8;o-7,f-12,f-12,o-13;o-12;o-11;o-10;o-9;o-8,o-13;o-12;o-11;o-10;o-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,f-6,f-6,f-6,,,,,,f-3,,f-4,f-4,f-4;o-5;o-6;o-7,o-7;o-8;o-9,,,,,,o-7;o-8;o-9,f-4;o-5;o-6;o-7,f-4,f-4,f-4,f-5,f-5,f-5,f-5,f-6,f-6,f-6,f-6,f-6,f-6,f-6,,
24,,,,,,,,,,,,o-13;o-12;o-11;o-10;o-9;o-8,f-12,f-12,f-12,f-12,f-12,o-13;o-12;o-11;o-10,,,,,,,,,,,,,,,,,,,,,,,,,,f-6,f-6,f-6,f-6,f-6,,f-5,,f-3,,,,,f-4;o-5;o-6;o-7,o-7;o-8;o-9,,,,,,o-7;o-8;o-9,f-4;o-5;o-6;o-7,f-4,f-4,f-4,f-5,f-5,f-5,f-5,f-6,f-6,f-6,f-6,f-6,f-6,f-6,,
25,,,,,,,,,,,,o-13;o-12;o-11;o-10,f-12,f-12,f-12,f-12,f-12,f-12,o-13;o-12;o-11;o-10;o-9;o-8,o-13;o-12;o-11;o-10,,,,,,,,,,,,,,,,,,,,,,,,f-6,f-6,f-6,f-6,f-6,f-5,,f-5,,f-4,,,,f-4;o-5;o-6;o-7,f-4;o-5;o-6;o-7,o-7;o-8;o-9,,,,o-7;o-8;o-9,f-4;o-5;o-6;o-7,f-4;o-5;o-6;o-7,,,,,,,,f-6,f-6,f-6,f-6,f-6,f-6,f-6,,
26,,,,,,,,,,,,o-13;o-12;o-11;o-10;o-9;o-8,f-12,f-12,f-12,f-12,f-12,f-12,f-12,f-12,o-14;o-13;o-12;o-11;o-10;o-9,o-14;o-13;o-12;o-11;o-10;o-9,o-14;o-13;o-12;o-11,o-14;o-13;o-12,,,,,,,,,,,,,,,,,,,,f-6,f-6,f-6,f-6,f-6,,,,f-4,,,,,,f-4;o-5;o-6;o-7,f-4;o-5;o-6;o-7,o-7;o-8;o-9,o-7;o-8;o-9,o-7;o-8;o-9,f-4;o-5;o-6;o-7,f-4;o-5;o-6;o-7,,,,,,,,,,f-6,f-6,f-6,f-6,f-6,,,
27,,,,,,,,,,,,o-13;o-12;o-11;o-10;o-9;o-8;o-7,f-12,f-12,f-12,f-12,f-12,f-12,f-13,f-12,f-12,f-13,f-13,f-13,o-14;o-13;o-12;o-11,,,,,,,,,,,,,,,,,,,,,f-6,,,,,,,,,,,,,f-4;o-5;o-6;o-7,f-4;o-5;o-6;o-7,f-4;o-5;o-6;o-7,f-4;o-5;o-6;o-7,f-4;o-5;o-6;o-7,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,o-13;o-12;o-11;o-10,f-12,f-12,f-12,f-12,f-12,f-13,f-13,f-13,f-13,f-13,f-13,f-13,o-14;o-13;o-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f-4,f-4,f-4,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,o-13;o-12;o-11;o-10,f-12,f-12,f-13,f-13,f-13,f-13,f-13,f-13,f-13,f-13,f-13,o-14;o-13;o-12;o-11;o-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f-4,f-4,f-4,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,o-13;o-12;o-11;o-10,f-12,f-12,f-13,f-13,f-13,f-13,f-13,f-13,f-14,f-14,f-13,f-13,o-14;o-13;o-12;o-11,o-15;o-14;o-13,,,,,,,,,,,,,,,,,f-8,f-8,f-8,f-8,f-8,f-9,f-9,,,,,,,,,,f-4,f-4,f-4,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,o-14;o-13;o-12;o-11,f-12,f-13,f-13,f-13,f-13,f-13,f-14,f-14,f-14,f-14,f-14,f-14,f-14,o-15;o-14;o-13,,,,,,,,,,,,,,,,f-8,f-8,f-8,f-8,o-8;o-7,f-9,f-9,f-9,f-9,f-9,,,,,,,f-5,f-5,f-5,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,o-14;o-13;o-12;o-11,f-12,f-13,f-13,f-13,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-14,o-15;o-14;o-13;o-12,,,,,,,,,,,,,,,,f-8,f-8,f-8,f-8,o-8;o-7,f-9,f-9,f-9,f-9,f-9,,,,,,,f-5,f-5,f-5,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,o-14;o-13;o-12;o-11;o-10;o-9,o-14;o-13;o-12;o-11;o-10,f-13,f-13,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-14,o-15;o-14;o-13,,,,,,,,,,,,,,f-8,f-8,f-8,f-8,f-8,o-8;o-7;o-6,f-8,f-9,f-9,f-9,f-10,,,,,,,f-5,f-5,f-5,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,o-15;o-14;o-13;0-12,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-15,f-15,f-14,o-15;o-14;o-13;o-12;o-11,,,,,,,,,,,,,f-8,f-8,f-8,f-8,o-8;o-7,o-8;o-7;o-6,f-8;o-9,f-9,f-10,f-10,f-10,,,,,,,f-5,f-5,f-5,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,o-15;o-14;o-13;o-12,f-14,f-14,f-14,f-14,f-14,f-14,f-14,f-15,f-15,f-15,f-15,f-15,o-15;o-14;o-13;o-12,,,,,,,,,,,,,f-8,f-8,f-8,f-8,f-8;o-9,f-8;o-9,f-8;o-9,f-10,f-10,f-10,f-10,,,,,,,f-5,f-5,f-5,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,o-15;o-14;o-13;o-12;o-11,f-14,f-14,f-14,f-14,f-14,f-14,f-15,f-15,f-15,f-15,f-15,f-15,o-15;o-14;o-13,,,,,,,,,,,f-8,f-8,f-8,f-8,f-8,o-8;o-7,f-8;o-9,f-10,f-10,f-10,f-10,f-10,f-10,,,,,,,f-6,f-6,f-6,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,o-15;o-14;o-13,f-14,f-14,f-14,f-14,f-15,f-15,f-15,f-15,f-15,f-15,f-15,f-15,,,,,,,,,,,,f-8,f-8,o-8;o-7;o-6,o-8;o-7;o-6;o-9,o-8;o-7;o-6;o-9,o-8;o-7;o-9,f-8;o-9,f-10,f-10,f-10,f-10,f-10,f-10,f-9,,,,,,f-6,f-6,f-6,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,o-15;o-14;o-13;o-12,f-14,f-14,f-14,f-15,f-15,f-15,f-15,f-15,f-15,f-15,f-15,f-15,,,,,,,,,,,f-8;o-9,f-8;o-9,f-8;o-9,f-8;o-9,f-10,f-10,f-10,f-10,f-10,f-10,f-10,f-10,f-10,f-10,f-9,f-9,f-9,,,f-6,f-6,f-6,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,o-15;o-14;o-13,f-14,f-14,f-15,f-15,f-15,f-15,f-15,f-15,f-15,f-15,f-15,,f-12,f-12,f-12,f-12,f-12,,,f-8,f-8,f-8;o-9,f-10,f-10,f-10,f-10,f-10,f-10,f-10,f-10,o-10;o-9,o-10;o-9,f-10,f-10,f-10,f-9,f-9,f-9,f-8,,f-6,f-6,f-6,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,o-15;o-14;o-13;o-12,f-15,f-15,f-15,o-15;o-14,o-15;o-14,o-15;o-14;o-13,o-15;o-14;o-13,f-15,f-15,f-15,f-15,f-14,f-13,f-12,,f-12,f-11,f-10,f-9,f-8,f-8,f-8;o-9,f-10,f-10,f-10,f-10,f-10,f-10,f-10,f-10,f-10,o-10;o-9;o-8,f-10,f-10,f-10,f-10,f-9,f-8,f-8,f-8,f-6,f-6,f-6,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,o-15;o-14,f-15,o-15;o-14,f-15,f-15,f-15,o-15;o-14,f-15,f-15,f-15,f-15,,f-12,f-12,f-12,f-12,f-12,,,f-8,f-8,f-8;o-9,f-9,f-10,f-10,o-10;o-9;o-8,f-10,f-10,f-10,f-10,f-10,o-10;o-9;o-8,f-10,f-10,f-10,f-10,f-9,f-8,f-8,f-8,f-7,f-7,f-6,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,o-15;o-14;o-13,f-15,f-15,f-15,f-15,f-15,f-15,f-15,f-15,f-15,f-15,,,,,,,,,,,f-8;o-9,f-9,f-10,f-10,o-10;o-9;o-8,f-10,f-10,f-10,f-10,f-10,o-10;o-9,f-10,f-10,f-10,f-10,,f-8,f-8,f-7,f-7,f-7,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,f-15,f-15,f-15,f-15,f-15,f-15,f-15,,,,,,,,,,,,f-8;o-9,f-9,f-9,f-9,o-9;o-8;o-7,f-9,f-9,f-10,f-10,f-10,f-10,f-10,f-10,f-10,,,,,f-7,f-7,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,f-15,f-15,f-15,,,,,,,,,,,,,,,f-9,f-9,f-9,f-9,o-9;o-8;o-7,o-9;o-8,f-9,f-9,f-10,f-10,f-10,f-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f-9,f-9,f-9,f-9,f-9,f-9,f-9,f-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
